Poetic Opening,Poem,Author,Year,Lines,"Count of 
Metaphor",Metaphorical Name,Meaning,Extra Notes
இது போதும் எனக்கு அதிகாலை ஒலிகள்,இது போதும் எனக்கு,வைரமுத்து,2000,நிலா ஒழுகும் இரவு திசை தொலைத்த காடு,1,ஒழுகும் இரவு,"நிலா ஒரு பெரிய ஆறு போலவும், வானம் ஒரு நீரோடை போலவும் தோன்றுகிறது. ",இந்த உருவகம் ஒரு நல்ல மற்றும் மகிழ்ச்சியான நேரத்தைக் குறிக்கிறது.
இது போதும் எனக்கு அதிகாலை ஒலிகள்,இது போதும் எனக்கு,வைரமுத்து,2000,ஒற்றையடிப்பாதை உன்னோடு பொடிநடை,0,,,
இது போதும் எனக்கு அதிகாலை ஒலிகள்,இது போதும் எனக்கு,வைரமுத்து,2000,மரங்கள் நடுங்கும் மார்கழி ரத்தம் உறையும் குளிர்,0,,,
இது போதும் எனக்கு அதிகாலை ஒலிகள்,இது போதும் எனக்கு,வைரமுத்து,2000,"உஷ்ணம் யாசிக்கும் உடல் ஒற்றைப் போர்வை பரஸ்பர வெப்பம்
",0,,,
இது போதும் எனக்கு அதிகாலை ஒலிகள்,இது போதும் எனக்கு,வைரமுத்து,2000,"நிலாத் தட்டு நட்சத்திரச் சோறு
",1,நிலாத் தட்டு ,தட்டின் வடிவம் நிலவிற்கு உருவகப்படுத்தப்பட்டுள்ளது.,
இது போதும் எனக்கு அதிகாலை ஒலிகள்,இது போதும் எனக்கு,வைரமுத்து,2000,"நிலாத் தட்டு நட்சத்திரச் சோறு
",1,நட்சத்திரச் சோறு,சோற்றின் அழகு மற்றும் சுவை நட்சத்திரங்களுக்கு உருவகப்படுத்தப்பட்டுள்ளது.,
இது போதும் எனக்கு அதிகாலை ஒலிகள்,இது போதும் எனக்கு,வைரமுத்து,2000,"கைகழுவக் கடல் கைதுடைக்க மேகம்
",0,,,
இது போதும் எனக்கு அதிகாலை ஒலிகள்,இது போதும் எனக்கு,வைரமுத்து,2000,பூப்போன்ற சோறு பொரிக்காத கீரை,1,பூப்போன்ற சோறு,இந்த உருவகம் சோற்றின் அழகு மற்றும் சுவையை ஒப்பிடுகிறது. ,"பூக்கள் அழகாகவும், வாசனையாகவும், சுவையாகவும் இருப்பதால், 
சோறு இவற்றை ஒத்ததாகக் கூறப்படுகிறது."
இல்லாத கடவுள் போன்ற இடைகொண்ட பெண்ணே,திராவிட காலம் - 1,வைரமுத்து,1992,இல்லாத கடவுள் போன்ற இடைகொண்ட பெண்ணே,1,"கடவுள் போன்ற
இடைகொண்ட பெண்ணே","பெண்ணின் அழகு மற்றும் கவர்ச்சியை, புத்திசாலித்தனத்தைக் குறிக்கிறது",
இல்லாத கடவுள் போன்ற இடைகொண்ட பெண்ணே,திராவிட காலம் - 1,வைரமுத்து,1992,"உந்தன் பொல்லாத அழகு பாடப் பூவாடும் கூந்தல் பாட
",1,பூவாடும் கூந்தல்,பெண்ணின் கூந்தல் பூக்களைப் போல அழகாகவும் வாசனையாகவும் இருப்பதாகக் கூறப்படுகிறது.,
"இல்லாத கடவுள் போன்ற
இடைகொண்ட பெண்ணே",திராவிட காலம் - 1,வைரமுத்து,1992,"சல்லாப விழிகள் பாடத் தனித்தமிழ் கொண்டு வந்தேன்
",1,சல்லாப விழிகள்,பெண்ணின் கண்களைக் குறிக்கிறது. ,"இந்த கண்கள் அழகாகவும், கவர்ச்சிகரமாகவும், கவர்ச்சிகரமாகவும் இருக்கிறது"
இல்லாத கடவுள் போன்ற இடைகொண்ட பெண்ணே,திராவிட காலம் - 1,வைரமுத்து,1992,"நில்லாமற் போனால் கூட்டில் நிற்குமோ எந்தன் ஆவி?
",0,,,
அலைகடலும் ஓய்ந்திருக்க,அலைகடலும் ஓய்ந்திருக்க,வைரமுத்து,2001,நிலமகளும் துயிலுகையில் நெஞ்சகந்தான் பதைப்பதுமேன்,0,,,
அலைகடலும் ஓய்ந்திருக்க,அலைகடலும் ஓய்ந்திருக்க,வைரமுத்து,2001,மான்விழியாள் பெண்ணொருத்தி மனத்தில் புயல் அடிப்பதுமேன்,1,மான்விழியாள்,ஒரு பெண்ணின் அழகான கண்களைக் குறிக்கிறது. ,"இந்த கண்கள் மானின் கண்களைப் போலவே அழகாகவும், கவர்ச்சியாகவும் இருக்கும்."
அலைகடலும் ஓய்ந்திருக்க,அலைகடலும் ஓய்ந்திருக்க,வைரமுத்து,2001,மாருதமும் தவழ்ந்து வரும் காரிகையாள் உளந்தனிலே காற்றுச் சுழன் றடிப்பதுமேன்?,1,காரிகையாள், இது துக்கம் அடைந்து உள்ளத்தில் புயல் அடித்துக்கொண்டிருக்கும் ஒரு இளம் பெண்ணைக் குறிக்கிறது,
போக்கிடம் இழந்து,போக்கிடம் இழந்து,வைரமுத்து,1997,போக்கிடம் இழந்து புழு மண் புரளும் சாக்கடை நதிகள் சங்கமிக்கின்ற பாலைவனமே,1,சாக்கடை நதிகள்,இது சமூக மற்றும் சுற்றுச்சூழல் சீரழிவின் தீவிரத்தை வெளிப்படுத்துகிறது.,
போக்கிடம் இழந்து ,போக்கிடம் இழந்து ,வைரமுத்து,1997,பாவத்தழும்பே ஓலைக்கிடங்கே ஓவியப்பிழையே,1, ஓவியப்பிழையே,ஒரு நபரின் குறைபாடுகள் அல்லது குறைகளைக் குறிக்கிறது. ,"இந்த குறைபாடுகள் ஒரு நபரின் அழகை அல்லது மதிப்பை குறைக்காது, 
ஆனால் அவை ஒரு நபரின் முழுமையின் ஒரு பகுதியாகும்."
காதலில் கால்கள் தடுக்க,காதலில் கால்கள் தடுக்க,வைரமுத்து,1998,அழகு சாத்தானே! என்னை தூக்கி செல்லடி,1,அழகு சாத்தானே!,இது அழகின் சக்தியை ஒரு தீய சக்தியுடன் ஒப்பிடுகிறது,
ஏ கடலே உன் கரையில் இதுவரையில்,சுனா‌மி,வைரமுத்து,2002,ஏ கடலே நீ முத்துக்களின் பள்ளத்தாக்கா முதுமக்கள் தாழியா,1,முத்துக்களின் பள்ளத்தாக்கா,கடலை முத்துக்களின் பள்ளத்தாக்கு என்று அழைப்பது கடலின் அழகை அங்கீகரிக்க ஒரு வழி,முத்துக்கள் அழகு மற்றும் மதிப்பின் அடையாளமாகும்
ஏ கடலே உன் கரையில் இதுவரையில்,சுனா‌மி,வைரமுத்து,2002,ஏ கடலே நீ முத்துக்களின் பள்ளத்தாக்கா முதுமக்கள் தாழியா,1,முதுமக்கள் தாழியா,கடலை ஒரு முதுமக்கள் தாழி என்று ஒப்பிடுகிறார்.,
விண் - அப்பம் போன்ற நிலவுவந்து - காதல்,திராவிட காலம் - 2,வைரமுத்து,2018,காதல் விண்ணப்பம் எழுதுகின்ற இரவு முத்தமென்ற சொல்போல ,1,முத்தமென்ற சொல்,இந்த உருவகம் முத்தத்தின் அழகு மற்றும் சக்தியை ஒப்பிடுகிறது,ஒரு அழகான மற்றும் சக்திவாய்ந்த சொல்லைக் குறிக்கப் பயன்படுத்தப்படுகிறது.
விண் - அப்பம் போன்ற நிலவுவந்து - காதல்,திராவிட காலம் - 2,வைரமுத்து,2018,"நான் இதழ்சேர வரும்போது உதடுஒட்டாத குறள்போல - நீ தள்ளியா நிற்பது?
",1,உதடுஒட்டாத குறள்போல,"ஒரு நபர் அல்லது ஒரு பொருள் ஒருவரிடமிருந்து அல்லது ஒருவரிடமிருந்து 
தள்ளியிருக்கும் ஒரு நிலையை விவரிக்கப் பயன்படுகிறது",
விண் - அப்பம் போன்ற நிலவுவந்து - காதல்,திராவிட காலம் - 2,வைரமுத்து,2018,விடையாட வேண்டும் வாடிஎன் கண்ணே,0,,,
விண் - அப்பம் போன்ற நிலவுவந்து - காதல்,திராவிட காலம் - 2,வைரமுத்து,2018,விடிவெள்ளி கண்ணயரும் முன்னே,0,,,
புது வெள்ளை மழை இங்கு பொழிகின்றது,புது வெள்ளை மழை,வைரமுத்து,1992,புது வெள்ளை மழை இங்கு பொழிகின்றது… இந்தக் கொள்ளை நிலா உடல் நனைகின்றது…,1,கொள்ளை நிலா,"இந்த உருவகம் ஒரு விருப்பத்தைக் குறிக்கலாம், 
அது அடைய முடியாததாக கருதப்படுகிறது.","நிலா ஒரு அழகான மற்றும் கவர்ச்சிகரமான பொருள், 
ஆனால் அது ஒரு தூரமான மற்றும் அணுக முடியாத பொருள்."
புது வெள்ளை மழை இங்கு பொழிகின்றது,புது வெள்ளை மழை,வைரமுத்து,1992,இங்கு சொல்லாத இடம் கூடக் குளிர்கின்றது…மனம் சூடான இடம் தேடி அலைகின்றது…,0,,,
புது வெள்ளை மழை இங்கு பொழிகின்றது,புது வெள்ளை மழை,வைரமுத்து,1992,பெண் இல்லாத ஊரிலே… அடி ஆண் பூ கேட்பதில்லை…,0,,,
புது வெள்ளை மழை இங்கு பொழிகின்றது,புது வெள்ளை மழை,வைரமுத்து,1992,உன் புடவை முந்தானை சாய்ந்ததில்… இந்த பூமி பூப்பூத்தது…,0,,,
புது வெள்ளை மழை இங்கு பொழிகின்றது,புது வெள்ளை மழை,வைரமுத்து,1992,இது கம்பன் பாடாத சிந்தனை… உந்தன் காதோடு யார் சொன்னது…,0,,,
என் நெஞ்சம் எங்கும் அவள் முகம்,என் நெஞ்சம் எங்கும் அவள் முகம்,வைரமுத்து,1998,வானத்தில் தூறிடும் வானத்தில் தூறிடும் மழைத்துளி என்னவள்,0,,,
என் நெஞ்சம் எங்கும் அவள் முகம்,என் நெஞ்சம் எங்கும் அவள் முகம்,வைரமுத்து,1998,விண்மீன்கள் சிதறலில் என்னவளின் புன்சிரிப்பு!,1,விண்மீன்கள் சிதறலில் புன்சிரிப்பு,"காதலியின் புன்னகை விண்மீன்கள் சிதறல் என்று ஒப்பிடுகிறார்,",
மகராஷ்டிர என் காதலியே ,என் காதலியே,வைரமுத்து,2001,சிவசேனை சீண்டலா சிக்க வைக்கும் தூண்டிலா உன் பார்வை,1,"சிக்க வைக்கும் தூண்டிலா
உன் பார்வை",பெண்ணின் பார்வை ஒரு தூண்டிலாக இருப்பதைக் குறிக்கிறது.,"காதலியின் பார்வையின் அழகையும், கவர்ச்சியையும் வெளிப்படுத்தலாம்"
மழைக்காலப் பூக்கள்,மழைக்காலப் பூக்கள்,வைரமுத்து,2002,அது ஒரு காலம் கண்ணே கார்க்காலம்,0,,,
மழைக்காலப் பூக்கள்,மழைக்காலப் பூக்கள்,வைரமுத்து,2002,உன்முகப்பூவில் பனித்துளியாகி விடும் இலட்சியத்தோடு உன் நெற்றியில் நீர்த்துளிகள் பட்டுத்தெறித்தன,1,உன்முகப்பூவில்,ஒரு பெண்ணின் முகம் பூவிற்கு உருவகிக்கப்பட்டுள்ளது,"அந்த பூவின் நிறம், இலைகள் மற்றும் மணம், 
அந்தப் பெண்ணின் அழகு, ஆரோக்கியம், அன்பு மற்றும் காதலை வெளிப்படுத்துகின்றன."
என்னவளே அடி என்னவளே,என்னவளே அடி என்னவளே,வைரமுத்து,1994,வயிற்றுக்கும் தொண்டைக்குமாய் உருவமில்லா உருண்டையொன்று,1,உருவமில்லா உருண்டையொன்று, இது ஒரு யோசனை அல்லது உணர்வு தெளிவாக வரையறுக்கப்படவில்லை என்பதைக் குறிக்கிறது,
 நறுமுகையே நறுமுகையே, நறுமுகையே நறுமுகையே,வைரமுத்து,1997,நறுமுகையே நறுமுகையே…நீயொரு நாழிகை நில்லாய்…,0,,,
 நறுமுகையே நறுமுகையே, நறுமுகையே நறுமுகையே,வைரமுத்து,1997,செங்கனி ஊறிய வாய் திறந்து… நீயொரு திருமொழி சொல்லாய்…,1,செங்கனி ஊறிய வாய்,"பெண்ணின் அழகையும், அவள் பேசும் வார்த்தைகளின் இனிமையையும் வெளிப்படுத்துகிறது.",
 நறுமுகையே நறுமுகையே, நறுமுகையே நறுமுகையே,வைரமுத்து,1997,அற்றைத் திங்கள் அந்நிலவில்…கொற்றப் பொய்கை ஆடுகையில்…,1,கொற்றப் பொய்கை,குளத்தின் நீர் ஆடுவதை விவரிக்கிறது. ,இது ஒரு பெண்ணின் இதயத்தில் எழும் மகிழ்ச்சியையும் உற்சாகத்தையும் குறிக்கிறது
 நறுமுகையே நறுமுகையே, நறுமுகையே நறுமுகையே,வைரமுத்து,1997,மங்கை மான்விழி அம்புகள் - என் மார்துளைத்ததென்ன,1,மான்விழி அம்புகள் ,இது ஒரு பெண்ணின் கண் மானின் கண்களைப் போல அழகானது,
 நறுமுகையே நறுமுகையே, நறுமுகையே நறுமுகையே,வைரமுத்து,1997,பாண்டி நாடனைக் கண்டு - என்னுடல் பசலை கொண்டதென்,0,,,
அடடா நீ ஒரு பார்வை பார்த்தாய்,அடடா நீ ஒரு பார்வை பார்த்தாய்,வைரமுத்து,1997,புயல் வந்து போனதொரு வனமாய் ஆனதடா என்னுள்ளம்,1,புயல் வந்து போனதொரு வனமாய்,இதயத்தை ஒரு வனத்திற்கு ஒப்பிடுகிறார். ,"புயல் இந்த வனத்தை அழித்துவிட்டது, ஆனால் அதன் வேர்கள் இன்னும் உறுதியாக உள்ளன."
அடடா நீ ஒரு பார்வை பார்த்தாய்,அடடா நீ ஒரு பார்வை பார்த்தாய்,வைரமுத்து,1997,என் நெஞ்சில் உனது கரம் வைத்தால் என் நிலைமை அது சொல்லும்,0,,,
இல்லை இல்லை சொல்ல ஒரு கணம் போதும்,சந்தனத் தென்றலை,வைரமுத்து,2000,விடியல் வந்த பின்னாலும் விடியாத இரவு எது,0,,,
இல்லை இல்லை சொல்ல ஒரு கணம் போதும்,சந்தனத் தென்றலை,வைரமுத்து,2000,பூவாசம் வீசும் உந்தன் கூந்தலடி,1,பூவாசம் வீசும் உந்தன் கூந்தல்,பெண்ணின் கூந்தலை பூவுடன் ஒப்பிட்டுக் கூறப்பட்டுள்ளது. ,பெண்ணின் கூந்தல் பூவின் மணத்தைப் போலவே மணம் வீசுகிறது என்று இதன் பொருள்.
இல்லை இல்லை சொல்ல ஒரு கணம் போதும்,சந்தனத் தென்றலை,வைரமுத்து,2000,இவ்வுலகம் இருண்ட பின்னும் இருளாத பாகம் எது,0,,,
இல்லை இல்லை சொல்ல ஒரு கணம் போதும்,சந்தனத் தென்றலை,வைரமுத்து,2000,கதிர் வந்து பாயும் உந்தன் கண்களடி,1,கதிர் வந்து பாயும் உந்தன் கண்,"காதலியின் கண்கள் கதிருக்கு ஒப்பானது என்று கூறுவதன் மூலம், அவை ஒளி, 
வெப்பம், உயிர் மற்றும் வாழ்க்கையைக் கொண்டுவருகின்றன",
கண்டுகொண்டேன் கண்டுகொண்டேன் காதல் முகம் கண்டுகொண்டேன்,கண்டுகொண்டேன் கண்டுகொண்டேன்,வைரமுத்து,2000,விரல் தொடும் தூரத்திலே வெண்ணிலவு கண்டுகொண்டேன்,0,,,
கண்டுகொண்டேன் கண்டுகொண்டேன் காதல் முகம் கண்டுகொண்டேன்,கண்டுகொண்டேன் கண்டுகொண்டேன்,வைரமுத்து,2000,வெண்ணிலா வெளிச்சம் கிண்ணத்தில் விழுந்து நிறைந்தால் வழிந்தால் மகிழ்ச்சி,0,,,
கண்டுகொண்டேன் கண்டுகொண்டேன் காதல் முகம் கண்டுகொண்டேன்,கண்டுகொண்டேன் கண்டுகொண்டேன்,வைரமுத்து,2000,என் கண் பார்த்தது என் கை சேருமோ கை சேராமலே கண்ணீர் சேருமோ,0,,,
கண்டுகொண்டேன் கண்டுகொண்டேன் காதல் முகம் கண்டுகொண்டேன்,கண்டுகொண்டேன் கண்டுகொண்டேன்,வைரமுத்து,2000,மலர்மஞ்சம் விழி கெஞ்சும் மனம் அஞ்சுமல்லவா,1,மலர்மஞ்சம் விழி,இது ஒரு பெண்ணின் கண்களைக் குறிக்கிறது,"அவை மலரின் நிறத்தைப் போலவே அழகாகவும், கவர்ச்சியாகவும் இருக்கும்."
அன்பென்ற மழையிலே,அன்பென்ற மழையிலே ,வைரமுத்து,1997,அன்பென்ற மழையிலே அகிலங்கள் நனையவே,1,அன்பென்ற மழையிலே,"""அன்பு"" என்பது மழை என்று உருவகப்படுத்தப்பட்டுள்ளது","மழை என்பது உயிர்களின் வாழ்க்கைக்கு அவசியமானது. அது பூமியை வளமாக்குகிறது. 
அதேபோல், அன்பு என்பது மனித வாழ்க்கைக்கு அவசியமானது. அது மனிதர்களை ஒன்றிணைக்கிறது. 
அது உலகத்தை ஒரு சிறந்த இடமாக மாற்றுகிறது."
அன்பென்ற மழையிலே,அன்பென்ற மழையிலே ,வைரமுத்து,1997,அதிரூபன் தோன்றினானே,1,அதிரூபன்,"""அதிரூபன்"" என்பது ஒரு நபர் என்று உருவகப்படுத்தப்பட்டுள்ளது",இந்த நபர் ஒரு புதிய சக்தியாகும். அவர் ஒரு புதிய யுகத்தை உருவாக்குவார் என்று நம்பப்படுகிறது.
அன்பென்ற மழையிலே,அன்பென்ற மழையிலே ,வைரமுத்து,1997,வைக்கோலின் மேலொரு வைரமாய் வைரமாய் வந்தவன் மின்னினானே,0,,,
அன்பென்ற மழையிலே,அன்பென்ற மழையிலே ,வைரமுத்து,1997,விண்மீன்கள் கண் பார்க்க சூரியன் தோன்றுமோ,0,,,
அன்பென்ற மழையிலே,அன்பென்ற மழையிலே ,வைரமுத்து,1997,புகழ்மைந்தன் தோன்றினானே,1,புகழ்மைந்தன்,"""புகழ்"" என்பது ஒரு ஒளி என்று உருவகப்படுத்தப்பட்டுள்ளது. ","ஒரு தலைவனின் சிறந்த குணங்களைக் காட்டுகிறது. 
ஒரு தலைவன் ஒரு புகழ்மிக்க நபர், அவர் தனது மக்களுக்கு ஒரு முன்மாதிரியாக இருககிறார்."
அன்பென்ற மழையிலே,அன்பென்ற மழையிலே ,வைரமுத்து,1997,கண்ணீரின் காயத்தை செந்நீரில் ஆற்றவே,1,செந்நீர்,"""செந்நீர்"" என்பது இரத்தம் என்று உருவகப்படுத்தப்பட்டுள்ளது",
அன்பென்ற மழையிலே,அன்பென்ற மழையிலே ,வைரமுத்து,1997,சிசுபாலன் தோன்றினானே,0,,,
அன்பென்ற மழையிலே,அன்பென்ற மழையிலே ,வைரமுத்து,1997,"போர் கொண்ட பூமியில் பூக்காடு காணவே
புகழ்மைந்தன் தோன்றினானே",0,,,
அன்பென்ற மழையிலே,அன்பென்ற மழையிலே ,வைரமுத்து,1997,கல் வாரி மழையிலே கல்லொன்று பூக்கவும் ,0,,,
அன்பென்ற மழையிலே,அன்பென்ற மழையிலே ,வைரமுத்து,1997, கருணை மகன் தோன்றினானே,1,கருணை மகன்,ஒரு கருணையுள்ள நபர் கடவுளின் குணங்களைப் பகிர்ந்துகொள்கிறார் என்பதைக் குறிக்கிறது.,
